freq_Hz,S11_dB,Zdiff_ohm
1000000.0,-51.88988696028984,100.51008419999998
1007704.81,-51.8898869602896,100.5100842
1015468.99,-51.88988696028984,100.51008419999998
1023292.99,-51.88988696028984,100.51008419999998
1031177.27,-51.8898869602896,100.5100842
1039122.3,-51.88988696028984,100.51008419999998
1047128.55,-51.88988696028984,100.51008419999998
1055196.48,-51.8898869602896,100.5100842
1063326.57,-51.88988696028984,100.51008419999998
1071519.31,-51.88988696028984,100.51008419999998
1079775.16,-51.8898869602896,100.5100842
1088094.63,-51.88988696028984,100.51008419999998
1096478.2,-51.88988696028984,100.51008419999998
1104926.36,-51.8898869602896,100.5100842
1113439.61,-51.8898869602896,100.5100842
1122018.45,-51.889886960290085,100.51008419999997
1130663.4,-51.8898869602896,100.5100842
1139374.95,-51.88988696028984,100.51008419999998
1148153.62,-51.8898869602896,100.5100842
1156999.93,-51.8898869602896,100.5100842
1165914.4,-51.88988696028984,100.51008419999998
1174897.55,-51.88988696028984,100.51008419999998
1183949.92,-51.889886960290085,100.51008419999997
1193072.04,-51.88988696028984,100.51008419999998
1202264.43,-51.8898869602896,100.5100842
1211527.66,-51.88988696028984,100.51008419999998
1220862.25,-51.88988696028984,100.51008419999998
1230268.77,-51.8898869602896,100.5100842
1239747.76,-51.8898869602896,100.5100842
1249299.79,-51.8898869602896,100.5100842
1258925.41,-51.88988696028984,100.51008419999998
1268625.2,-51.88988696028984,100.51008419999998
1278399.72,-51.88988696028984,100.51008419999998
1288249.55,-51.88988696028984,100.51008419999998
1298175.28,-51.88988696028936,100.51008420000001
1308177.47,-51.88988696028984,100.51008419999998
1318256.74,-51.8898869602896,100.5100842
1328413.66,-51.889886960290085,100.51008419999997
1338648.84,-51.8898869602896,100.5100842
1348962.88,-51.8898869602896,100.5100842
1359356.39,-51.88988696028984,100.51008419999998
1369829.98,-51.8898869602896,100.5100842
1380384.26,-51.88988696028984,100.51008419999998
1391019.87,-51.8898869602896,100.5100842
1401737.42,-51.8898869602896,100.5100842
1412537.54,-51.889886960290085,100.51008419999997
1423420.88,-51.88988696028984,100.51008419999998
1434388.08,-51.889886960290085,100.51008419999997
1445439.77,-51.88988696028936,100.51008420000001
1456576.62,-51.88988696028984,100.51008419999998
1467799.27,-51.88988696028936,100.51008420000001
1479108.39,-51.88988696028984,100.51008419999998
1490504.64,-51.88988696028984,100.51008419999998
1501988.7,-51.88988696028984,100.51008419999998
1513561.25,-51.8898869602896,100.5100842
1525222.96,-51.88988696028936,100.51008420000001
1536974.52,-51.8898869602896,100.5100842
1548816.62,-51.8898869602896,100.5100842
1560749.96,-51.8898869602896,100.5100842
1572775.25,-51.8898869602896,100.5100842
1584893.19,-51.88988696028984,100.51008419999998
1597104.5,-51.88988696028936,100.51008420000001
1609409.89,-51.88988696028984,100.51008419999998
1621810.1,-51.8898869602896,100.5100842
1634305.84,-51.88988696028984,100.51008419999998
1646897.87,-51.88988696028984,100.51008419999998
1659586.91,-51.8898869602896,100.5100842
1672373.72,-51.88988696028984,100.51008419999998
1685259.04,-51.88988696028984,100.51008419999998
1698243.65,-51.8898869602896,100.5100842
1711328.3,-51.8898869602896,100.5100842
1724513.77,-51.8898869602896,100.5100842
1737800.83,-51.88988696028984,100.51008419999998
1751190.26,-51.88988696028984,100.51008419999998
1764682.86,-51.8898869602896,100.5100842
1778279.41,-51.8898869602896,100.5100842
1791980.72,-51.88988696028984,100.51008419999998
1805787.6,-51.88988696028984,100.51008419999998
1819700.86,-51.88988696028936,100.51008420000001
1833721.32,-51.8898869602896,100.5100842
1847849.8,-51.889886960290085,100.51008419999997
1862087.14,-51.8898869602896,100.5100842
1876434.17,-51.88988696028936,100.51008420000001
1890891.75,-51.88988696028984,100.51008419999998
1905460.72,-51.8898869602896,100.5100842
1920141.94,-51.88988696028936,100.51008420000001
1934936.28,-51.8898869602896,100.5100842
1949844.6,-51.8898869602896,100.5100842
1964867.79,-51.8898869602896,100.5100842
1980006.73,-51.88988696028984,100.51008419999998
1995262.31,-51.8898869602896,100.5100842
2010635.44,-51.88988696028936,100.51008420000001
2026127.01,-51.88988696028984,100.51008419999998
2041737.94,-51.8898869602896,100.5100842
2057469.16,-51.8898869602896,100.5100842
2073321.57,-51.88988696028984,100.51008419999998
2089296.13,-51.8898869602896,100.5100842
2105393.77,-51.8898869602896,100.5100842
2121615.44,-51.88988696028984,100.51008419999998
2137962.09,-51.8898869602896,100.5100842
2154434.69,-51.88988696028984,100.51008419999998
2171034.21,-51.8898869602896,100.5100842
2187761.62,-51.8898869602896,100.5100842
2204617.92,-51.8898869602896,100.5100842
2221604.09,-51.88988696028984,100.51008419999998
2238721.14,-51.889886960290085,100.51008419999997
2255970.07,-51.88988696028984,100.51008419999998
2273351.9,-51.88988696028984,100.51008419999998
2290867.65,-51.8898869602896,100.5100842
2308518.36,-51.8898869602896,100.5100842
2326305.07,-51.88988696028984,100.51008419999998
2344228.82,-51.889890357295236,100.510084
2362290.66,-51.889890357295236,100.510084
2380491.67,-51.889890357295236,100.510084
2398832.92,-51.88989035729548,100.51008399999999
2417315.48,-51.88989035729548,100.51008399999999
2435940.45,-51.889890357295236,100.510084
2454708.92,-51.889890357295236,100.510084
2473621.99,-51.889890357295236,100.510084
2492680.79,-51.88989035729548,100.51008399999999
2511886.43,-51.88989035729548,100.51008399999999
2531240.05,-51.889890357294995,100.51008400000002
2550742.78,-51.88989035729548,100.51008399999999
2570395.78,-51.889890357295236,100.510084
2590200.2,-51.88989035729548,100.51008399999999
2610157.22,-51.88989035729548,100.51008399999999
2630267.99,-51.88989035729548,100.51008399999999
2650533.72,-51.88989035729548,100.51008399999999
2670955.59,-51.889890357295236,100.510084
2691534.8,-51.88989035729548,100.51008399999999
2712272.58,-51.889890357295236,100.510084
2733170.14,-51.889890357294995,100.51008400000002
2754228.7,-51.889890357295236,100.510084
2775449.52,-51.88989035729548,100.51008399999999
2796833.85,-51.889890357295236,100.510084
2818382.93,-51.88989035729548,100.51008399999999
2840098.05,-51.88989035729571,100.51008399999998
2861980.48,-51.889890357295236,100.510084
2884031.5,-51.88989035729548,100.51008399999999
2906252.43,-51.889890357294995,100.51008400000002
